StartDate,EndDate,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,Q32,Q33,Q34,Q35,Black1_1,Black1_2,Black1_3,Black1_4,Black2_1,Black2_2,Black2_3,Black2_4,Black3_1,Black3_2,Black3_3,Black3_4,Black4_1,Black4_2,Black4_3,Black4_4,Black5_1,Black5_2,Black5_3,Black5_4,Black6_1,Black6_2,Black6_3,Black6_4,Black7_1,Black7_2,Black7_3,Black7_4,Black8_1,Black8_2,Black8_3,Black8_4,Black9_1,Black9_2,Black9_3,Black9_4,Black10_1,Black10_2,Black10_3,Black10_4,Black11_1,Black11_2,Black11_3,Black11_4,Black12_1,Black12_2,Black12_3,Black12_4,White1_1,White1_2,White1_3,White1_4,White2_1,White2_2,White2_3,White2_4,White3_1,White3_2,White3_3,White3_4,White4_1,White4_2,White4_3,White4_4,White5_1,White5_2,White5_3,White5_4,White6_1,White6_2,White6_3,White6_4,White7_1,White7_2,White7_3,White7_4,White8_1,White8_2,White8_3,White8_4,White9_1,White9_2,White9_3,White9_4,White10_1,White10_2,White10_3,White10_4,White11_1,White11_2,White11_3,White11_4,White12_1,White12_2,White12_3,White12_4
04/03/2018 23:42,04/03/2018 23:53,622,04/03/2018 23:53,R_1HjxbCK4yWHJEt0,52.69999695,Female,46,White British,Finance officer,3,3,3,2,3,4,3,3,3,2,3,3,3,4,3,4,3,3,3,,3,3,3,4,3,3,4,4,3,4,4,3,3,4,4,3,3,4,4,4,3,3,2,4,3,3,4,3,3,3,4,2,3,3,3,3,3,4,3,2,3,4,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,3,4,3,4,3,3,3,3
19/02/2018 12:45,19/02/2018 12:52,429,19/02/2018 12:52,R_2wzbMb5RStlDyHv,53.23330688,Male,19,White,Student,4,3,2,5,3,4,2,4,4,4,4,4,4,4,4,4,3,3,1,3,3,3,1,4,4,3,5,2,4,4,6,3,4,3,5,4,3,3,4,4,5,4,3,6,4,5,5,4,4,5,5,3,4,5,4,2,5,5,4,4,5,5,4,5,3,3,2,3,3,4,3,3,5,5,4,3,4,6,4,2,4,5,2,4,5,6,6,2,5,4,5,6,4,5,6,2
19/02/2018 13:07,19/02/2018 13:13,349,19/02/2018 13:13,R_2ZJFmUwqeVExctg,53.23330688,Female,19,White British,Student,4,5,4,5,3,5,4,3,4,4,4,4,3,4,4,3,5,5,4,6,3,4,4,3,4,4,4,5,3,4,5,4,4,4,4,4,4,6,4,5,5,5,4,5,3,4,4,3,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,3,3,2,5,4,3,4,5,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
19/02/2018 13:30,19/02/2018 13:36,316,19/02/2018 13:36,R_2QtbKGtjNt26tNf,51.49639893,Male,21,English,Assistant Manager,4,5,4,4,4,5,3,5,4,4,4,5,6,3,5,6,4,4,4,5,4,4,4,4,4,4,4,5,5,3,4,5,5,6,4,6,4,4,5,4,5,4,3,5,3,4,4,3,4,4,5,5,4,5,4,2,5,5,5,3,4,5,3,4,3,5,3,4,3,5,5,3,5,4,3,4,4,4,4,3,3,5,5,5,4,5,4,4,3,5,6,3,4,4,4,4
19/02/2018 15:09,19/02/2018 15:17,493,19/02/2018 15:17,R_2a9c1SdpG4fW0Hc,53.71670532,Female ,54,White British ,Cleaner ,4,4,2,6,3,3,2,3,3,3,4,4,2,3,2,2,3,4,3,4,3,4,3,3,3,4,4,3,3,3,3,,3,4,4,4,5,3,4,,4,3,3,4,4,4,4,2,5,3,3,3,3,3,2,2,4,3,3,4,3,3,3,4,3,3,3,4,3,4,5,4,3,3,3,3,2,4,4,2,3,3,3,3,3,3,3,2,3,2,4,3,3,3,4,2
22/02/2018 11:36,22/02/2018 11:46,600,22/02/2018 11:46,R_2y74dXXoxX7cFTU,53.23330688,Female,20,White British ,Student,4,4,3,6,3,5,4,3,5,2,4,5,6,2,6,3,6,3,2,6,3,6,3,4,6,3,4,2,2,2,4,3,4,4,4,3,4,5,5,3,5,6,3,5,3,2,4,2,4,3,4,3,3,5,4,2,5,5,4,5,3,4,4,2,4,5,3,4,2,5,2,2,5,2,3,5,3,5,6,3,5,5,3,4,3,5,5,2,3,5,4,3,2,5,5,1
22/02/2018 11:44,22/02/2018 11:49,304,22/02/2018 11:49,R_bOU0RPoTrUINDCp,53.23330688,Female,19,British,Student,4,6,4,5,4,5,5,3,6,4,4,5,5,4,4,6,5,5,3,6,5,5,3,4,4,4,5,4,4,4,5,3,4,3,5,5,3,5,5,4,4,5,4,5,3,5,5,4,4,3,5,3,4,5,5,4,4,4,5,4,4,5,5,3,4,4,4,4,3,5,6,3,5,5,5,4,3,4,5,3,4,4,4,4,3,4,6,4,4,5,4,5,4,5,5,3
22/02/2018 14:31,22/02/2018 14:37,324,22/02/2018 14:37,R_UuAxBviQ0tu2e41,53.23330688,Female,20,White British ,Student,4,5,3,4,3,5,3,3,5,5,4,5,5,5,4,4,4,5,3,5,5,5,4,5,4,5,5,3,3,5,3,3,5,5,4,3,5,5,4,4,5,5,3,5,4,5,4,3,2,5,3,3,3,5,3,3,3,5,3,4,3,5,5,3,4,5,3,5,3,5,3,3,3,5,4,3,3,5,4,2,4,5,4,4,3,5,4,3,3,5,6,4,3,5,3,3
19/02/2018 12:28,22/02/2018 15:25,269807,22/02/2018 15:25,R_3PyOoD9stckfd1I,53.23330688,Female,20,White british,Student,4,5,3,5,2,4,4,2,5,3,3,5,3,3,3,3,6,4,4,6,4,4,3,3,5,4,5,4,2,3,5,2,3,4,4,4,4,4,5,3,5,3,3,6,2,5,6,3,4,2,4,5,4,3,5,3,5,3,3,5,5,5,5,4,4,5,3,4,2,5,3,1,4,4,5,2,3,6,6,3,4,4,2,2,3,5,5,3,5,5,5,5,4,4,6,3
22/02/2018 19:04,22/02/2018 19:09,294,22/02/2018 19:09,R_2WHCJjCN2hd3FJS,53.23330688,Female,20,White british,Student,4,4,4,3,3,3,3,2,3,3,4,3,4,3,4,3,4,3,4,4,3,3,4,3,3,3,4,3,4,2,5,4,3,3,5,3,4,4,5,4,4,3,3,5,3,3,5,4,3,3,4,3,4,4,4,4,3,2,4,3,4,3,4,4,4,3,3,3,5,4,3,3,3,4,4,3,4,4,5,3,2,3,3,4,4,4,4,3,4,4,4,4,3,4,4,3
22/02/2018 19:21,22/02/2018 19:28,375,22/02/2018 19:28,R_3nSF4Saj2GI4iIN,53.23330688,Male,27,White british,Learning mentor,4,5,4,3,2,6,5,2,5,6,4,5,3,5,5,3,5,5,4,5,5,4,4,4,4,4,5,3,6,5,5,2,4,4,4,4,3,5,5,2,4,4,3,5,3,6,5,2,4,5,5,4,3,6,5,2,5,5,6,6,4,5,5,3,4,6,4,4,2,5,4,1,4,5,5,3,3,6,6,3,4,6,5,4,2,5,5,2,4,5,5,3,4,6,5,3
22/02/2018 20:04,22/02/2018 20:10,360,22/02/2018 20:10,R_32WygtN82eheCrN,53.13330078,Male,22,White English ,Precision Engineer,4,5,5,5,4,4,4,4,5,3,5,5,5,5,5,5,5,3,5,5,4,4,6,4,4,4,6,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,6,6,5,4,3,4,6,4,5,6,4,4,4,4,4,4,6,6,4,5,6,5,5,4,5,5,4,4,4,4,4,5,4,5,5,5,4,5,5,5,5,6,4,4,4,4,4
22/02/2018 20:15,22/02/2018 20:22,418,22/02/2018 20:22,R_tKYUEh5eeXtzph7,53.21670532,Female,19,White British ,Student,4,5,3,4,4,3,4,3,4,5,4,5,3,2,1,4,5,4,3,5,5,5,3,5,5,6,4,4,4,3,4,3,4,4,5,3,4,3,4,3,4,2,1,4,2,2,4,1,5,4,3,2,4,3,4,4,4,4,3,5,5,5,4,5,3,4,3,4,3,2,2,4,4,5,3,2,3,4,4,2,5,4,5,5,4,4,5,3,5,4,4,6,4,4,5,2
22/02/2018 20:55,22/02/2018 21:08,749,22/02/2018 21:08,R_3luExzsuQtH3Yrf,53.23330688,Male,19,white british,student ,4,4,4,4,5,5,4,5,4,5,6,4,4,5,5,4,6,5,5,5,4,5,5,4,6,5,5,4,5,5,4,5,3,4,4,4,5,5,5,4,5,5,2,6,4,5,5,1,4,3,4,3,5,5,5,4,5,5,4,5,4,4,5,4,5,4,5,4,4,6,3,2,4,5,5,4,5,5,4,4,4,5,4,4,4,5,4,5,5,5,4,6,5,5,5,3
22/02/2018 22:22,22/02/2018 22:27,275,22/02/2018 22:27,R_3hApTD5qn6KPjSr,52.96479797,Female ,21,White British ,Student ,4,5,3,5,5,6,5,4,5,5,4,5,5,5,5,3,5,4,4,5,4,4,4,2,4,4,4,4,4,5,4,4,4,5,5,5,5,5,4,4,4,5,4,5,4,5,6,2,4,5,5,5,4,6,5,4,4,5,4,4,5,5,6,2,4,6,3,3,5,6,3,2,4,5,5,4,4,4,5,3,5,5,5,5,5,5,6,4,4,5,5,5,4,6,5,5
22/02/2018 23:14,22/02/2018 23:20,305,22/02/2018 23:20,R_w4XYJU0vxl0rxeN,53.16900635,Female,19,British,Umemployed,4,4,4,4,4,4,5,5,4,3,5,6,4,3,3,4,3,3,3,3,4,2,6,4,4,5,5,3,4,3,5,3,4,3,3,4,4,4,5,4,4,3,4,6,3,3,4,4,4,4,4,4,4,3,5,4,3,3,3,3,4,3,5,5,5,5,5,5,4,4,3,4,5,5,5,5,4,3,4,4,5,4,5,4,4,5,4,4,4,4,4,4,5,5,5,5
23/02/2018 09:36,23/02/2018 09:43,467,23/02/2018 09:43,R_3dRqGYMm2hZKY7U,52.93330383,Female,21,White british,Student ,4,6,6,3,3,6,5,3,5,5,5,6,3,6,6,1,5,6,4,5,5,5,4,5,3,6,6,2,4,6,6,4,6,5,5,4,6,4,6,4,6,5,4,6,2,4,5,2,6,6,4,6,5,6,6,2,6,6,5,3,3,5,5,2,5,6,4,5,2,6,6,2,4,5,4,2,2,6,5,2,5,5,6,4,3,5,5,3,5,5,5,3,4,5,6,3
23/02/2018 09:40,23/02/2018 09:47,406,23/02/2018 09:47,R_x3flEGauVEZIaiJ,51.49639893,Female,21,White British,Student,4,5,5,3,3,5,5,3,3,2,4,3,3,2,3,4,4,2,3,4,3,2,2,4,3,2,5,3,3,3,5,2,4,4,6,3,3,4,5,3,3,2,2,3,3,4,5,3,3,3,4,3,3,4,4,3,3,4,3,3,4,5,5,4,4,4,3,4,4,3,4,3,3,4,4,3,3,4,4,3,3,3,2,3,3,5,4,3,3,4,4,3,3,4,5,2
23/02/2018 18:40,23/02/2018 19:29,2909,23/02/2018 19:29,R_28Sa3ChuzHUqAoW,51.12539673,Female,76,Caucasion,Retired,4,4,3,4,4,4,3,4,4,4,4,3,3,4,4,3,3,4,3,3,4,4,4,3,3,4,5,4,3,4,4,4,4,5,5,5,4,4,4,3,4,3,2,5,4,4,4,3,4,5,3,5,4,5,3,5,3,4,3,5,4,3,2,4,3,4,3,3,3,4,3,5,5,5,5,4,2,5,5,3,3,2,2,3,5,3,2,6,3,4,4,3,4,4,4,4
26/02/2018 00:58,26/02/2018 01:06,479,26/02/2018 01:06,R_2wjzk2isFu43RmZ,52.46670532,Female,19,White British,Student ,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,3,4,3,3,5,4,3,4,2,5,4,4,4,,3,5,3,3,3,5,3,4,4,5,3,4,3,2,4,4,4,6,2,4,4,5,4,3,4,3,3,4,2,3,4,3,3,4,3,4,4,2,4,4,4,3,2,3,3,4,2,5,4,5,4,3,3,1,2,4,4,4,3,4,5,5,5,3,4,5,3
26/02/2018 12:11,26/02/2018 12:14,226,26/02/2018 12:14,R_UhWTXELWpLygMQ9,53.21670532,Female,20,British ,Student ,4,4,4,4,4,4,4,4,5,4,4,5,5,4,4,5,5,4,4,5,,4,4,3,5,4,4,4,4,4,4,4,5,4,5,5,4,4,4,4,4,3,4,4,3,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,5,4,5,3,5,3,2,5,5,5,4,4,5,5,4,5,3,4,4,4,4,5,3,5,5,5,5,4,5,5,4
26/02/2018 12:14,26/02/2018 12:18,216,26/02/2018 12:18,R_aVrSFJbpkQZKueB,53.23330688,Female,20,White British,Student,4,5,4,3,4,4,4,2,5,5,4,4,4,4,5,2,4,4,4,3,4,5,5,1,5,4,5,3,4,5,4,1,4,3,4,4,5,4,4,1,4,3,4,3,4,3,5,1,5,5,3,5,4,4,4,1,5,5,4,5,4,3,3,2,5,3,3,3,3,3,3,1,4,3,4,3,4,4,4,2,6,3,4,4,3,3,4,1,5,6,3,5,4,4,4,1
19/02/2018 13:05,19/02/2018 13:16,651,26/02/2018 13:16,R_BGle21pxIZyTH1L,,female ,20,white,student,4,4,3,2,2,4,3,1,5,5,2,5,5,5,6,5,5,5,4,5,5,5,4,5,5,4,5,4,4,5,5,4,6,2,6,4,5,5,4,5,4,4,3,5,5,5,5,4,4,5,4,4,4,5,4,5,5,4,4,5,4,5,4,5,5,2,2,6,4,4,4,5,5,5,5,4,4,5,5,4,4,4,4,5,4,5,5,4,5,5,6,5,5,5,6,6
19/02/2018 19:01,19/02/2018 19:07,344,26/02/2018 19:07,R_qxDwtAUFAIoZulX,,Male,19,White British,Electrical engineer,4,3,2,3,3,2,2,1,2,2,1,2,1,2,2,1,3,3,1,4,4,3,3,5,5,3,3,3,3,2,4,1,3,2,2,2,3,2,2,2,3,3,2,2,3,3,4,3,4,2,3,3,3,4,3,2,6,4,2,6,4,4,4,3,2,5,3,1,1,3,5,1,4,3,3,1,2,3,3,1,3,3,3,3,3,4,4,2,4,5,3,2,3,4,4,1
27/02/2018 16:06,27/02/2018 16:12,318,27/02/2018 16:12,R_2WUSlZ5pscZ6J38,53.38299561,Female ,20,British,Student ,4,6,3,2,4,4,4,2,4,4,5,4,6,6,6,2,6,6,3,,6,3,3,2,6,4,4,6,4,2,6,4,6,6,4,6,4,5,,6,6,3,1,6,5,3,6,1,3,3,5,3,4,6,3,1,6,5,3,5,4,6,6,2,4,6,3,1,4,4,2,1,6,6,4,2,5,5,5,1,5,2,2,6,4,3,4,1,4,6,4,6,4,6,6,1
22/02/2018 20:32,22/02/2018 20:36,281,01/03/2018 20:37,R_1MSU5icu8NCZ3Gi,,Female,20,White british,Student,4,4,3,4,4,5,4,3,4,4,3,4,3,2,3,3,4,3,3,4,4,3,4,2,4,3,4,4,4,4,4,3,3,4,3,4,4,5,4,3,5,3,3,5,4,3,4,4,3,3,5,3,4,4,4,3,5,3,2,5,3,2,3,3,4,4,2,2,4,4,4,2,4,4,5,3,4,3,4,3,5,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4
